"dataset","method","has_y","tvae","approach","y_synth","macro_max","macro_end","scenario"
"Adult","categorical",0,0,"new","categorical",0.720889311054937,0.718510577554964,"Recorded"
"Covertype","categorical",0,0,"new","categorical",0.480348134235759,0.48018107462547,"Recorded"
"MNIST12","categorical",0,0,"new","categorical",0.794967096262806,0.791463152,"Recorded"
"MNIST28","categorical",0,0,"new","categorical",0.810494561791557,0.805161302116299,"Recorded"
"Adult","compare_sdv_categorical",1,0,"new","categorical",0.718470628215018,0.717138671422937,"Recorded"
"Covertype","compare_sdv_categorical",1,0,"new","categorical",0.480505529455629,0.479833131658219,"Recorded"
"MNIST12","compare_sdv_categorical",1,0,"new","categorical",0.799065477389292,0.796115818965635,"Recorded"
"MNIST28","compare_sdv_categorical",1,0,"new","categorical",0.816866654303724,0.806991984407023,"Recorded"
"Adult","sdv_tvae_categorical",0,1,"new","categorical",0.712710312046687,0.711293672908023,"Recorded"
"Covertype","sdv_tvae_categorical",0,1,"new","categorical",0.490625434156629,0.487556135,"Recorded"
"MNIST12","sdv_tvae_categorical",0,1,"new","categorical",0.816607461145866,0.814009528273677,"Recorded"
"MNIST28","sdv_tvae_categorical",0,1,"new","categorical",0.830935481586182,0.828504185,"Recorded"
"Adult","compare_sdv_tvae_categoricalNB",1,1,"new","categorical",0.713843242578042,0.712568275101917,"Recorded"
"Covertype","compare_sdv_tvae_categoricalNB",1,1,"new","categorical",0.490665113254469,0.490489877,"Recorded"
"MNIST12","compare_sdv_tvae_categoricalNB",1,1,"new","categorical",0.812968196471515,0.809303102656574,"Recorded"
"MNIST28","compare_sdv_tvae_categoricalNB",1,1,"new","categorical",0.832237883669711,0.82856272009548,"Recorded"
"Adult","ctgan",1,0,"old","ctgan",0.774334365357081,0.76652670227745,"Recorded"
"Covertype","ctgan",1,0,"old","ctgan",0.483519528518426,0.474843098747026,"Recorded"
"MNIST12","ctgan",1,0,"old","ctgan",0.481595237719201,0.470391688519029,"Recorded"
"MNIST28","ctgan",1,0,"old","ctgan",0.445358108102636,0.391620406619296,"Recorded"
"Adult","pca_gmm",0,0,"new","pca_gmm",0.756167103431368,0.731776554206533,"Recorded"
"Covertype","pca_gmm",0,0,"new","pca_gmm",0.479220362422839,0.46786135564948,"Recorded"
"MNIST12","pca_gmm",0,0,"new","pca_gmm",0.787593435,0.782912279024365,"Recorded"
"MNIST28","pca_gmm",0,0,"new","pca_gmm",0.798544792997575,0.784158404927209,"Recorded"
"Adult","compare_sdv_pca_gmm",1,0,"new","pca_gmm",0.736476284685015,0.724482567766083,"Recorded"
"Covertype","compare_sdv_pca_gmm",1,0,"new","pca_gmm",0.497741498949051,0.485523119160186,"Recorded"
"MNIST12","compare_sdv_pca_gmm",1,0,"new","pca_gmm",0.799049102,0.794671322010206,"Recorded"
"MNIST28","compare_sdv_pca_gmm",1,0,"new","pca_gmm",0.776811555310235,0.76696388,"Recorded"
"Adult","sdv_tvae_pca_gmm",0,1,"new","pca_gmm",0.728127254919644,0.708239720227377,"Recorded"
"Covertype","sdv_tvae_pca_gmm",0,1,"new","pca_gmm",0.458968388582935,0.420312048512177,"Recorded"
"MNIST12","sdv_tvae_pca_gmm",0,1,"new","pca_gmm",0.815723914062213,0.813437075,"Recorded"
"MNIST28","sdv_tvae_pca_gmm",0,1,"new","pca_gmm",0.832613735770689,0.830115617330462,"Recorded"
"Adult","compare_sdv_tvae_pca_gmm",1,1,"new","pca_gmm",0.726056204292245,0.700796183302546,"Recorded"
"Covertype","compare_sdv_tvae_pca_gmm",1,1,"new","pca_gmm",0.434507947695213,0.397543914847909,"Recorded"
