"dataset","score.new","score.old","gain"
"Adult",0.727457477979948,0.760240163022533,-0.032782685042585
"Covertype",0.508554869434091,0.390375799980056,0.118179069454035
"MNIST12",0.762000385856637,0.703220766020776,0.0587796198358606
"MNIST28",0.781027102569632,0.690492014551318,0.0905350880183143
