"panel","dataset","x","score","approach","unit","generator"
"CTGAN-based","Adult","CTGAN-XGB",0.775322567011704,"hybrid","Task/configuration","CTGAN"
"CTGAN-based","Covertype","CTGAN-XGB",0.646754193,"hybrid","Task/configuration","CTGAN"
"CTGAN-based","MNIST12","CTGAN-XGB",0.880732309706116,"hybrid","Task/configuration","CTGAN"
"CTGAN-based","MNIST28","CTGAN-XGB",0.880160998496735,"hybrid","Task/configuration","CTGAN"
"CTGAN-based","Adult","CTGAN-XGB",0.77174954694637,"hybrid","Task/configuration","CTGAN"
"CTGAN-based","Covertype","CTGAN-XGB",0.603759174381883,"hybrid","Task/configuration","CTGAN"
"CTGAN-based","MNIST12","CTGAN-XGB",0.877000837313915,"hybrid","Task/configuration","CTGAN"
"CTGAN-based","MNIST28","CTGAN-XGB",0.870782208727256,"hybrid","Task/configuration","CTGAN"
"TVAE-based","Adult","TVAE-XGB",0.773667948688328,"hybrid","Task/configuration","TVAE"
"TVAE-based","Covertype","TVAE-XGB",0.585550597388596,"hybrid","Task/configuration","TVAE"
"TVAE-based","MNIST12","TVAE-XGB",0.940385092884243,"hybrid","Task/configuration","TVAE"
"TVAE-based","MNIST28","TVAE-XGB",0.961676705854757,"hybrid","Task/configuration","TVAE"
"TVAE-based","Adult","TVAE-XGB",0.773570491877384,"hybrid","Task/configuration","TVAE"
"TVAE-based","Covertype","TVAE-XGB",0.633117605337109,"hybrid","Task/configuration","TVAE"
"TVAE-based","MNIST12","TVAE-XGB",0.944914071375845,"hybrid","Task/configuration","TVAE"
"TVAE-based","MNIST28","TVAE-XGB",0.961000141100352,"hybrid","Task/configuration","TVAE"
"Feature generator input","Adult","Target omitted from generator training",0.775971771795829,"hybrid","Task/generator mean","CTGAN"
"Feature generator input","Covertype","Target omitted from generator training",0.649735319033698,"hybrid","Task/generator mean","CTGAN"
"Feature generator input","MNIST12","Target omitted from generator training",0.882225007022547,"hybrid","Task/generator mean","CTGAN"
"Feature generator input","MNIST28","Target omitted from generator training",0.873866446470962,"hybrid","Task/generator mean","CTGAN"
"Feature generator input","Adult","Target omitted from generator training",0.77534143352734,"hybrid","Task/generator mean","TVAE"
"Feature generator input","Covertype","Target omitted from generator training",0.574440509373312,"hybrid","Task/generator mean","TVAE"
"Feature generator input","MNIST12","Target omitted from generator training",0.935903231448566,"hybrid","Task/generator mean","TVAE"
"Feature generator input","MNIST28","Target omitted from generator training",0.954733777167443,"hybrid","Task/generator mean","TVAE"
"Feature generator input","Adult","Target included in generator training",0.772092313503681,"hybrid","Task/generator mean","CTGAN"
"Feature generator input","Covertype","Target included in generator training",0.617120645283618,"hybrid","Task/generator mean","CTGAN"
"Feature generator input","MNIST12","Target included in generator training",0.876048916492101,"hybrid","Task/generator mean","CTGAN"
"Feature generator input","MNIST28","Target included in generator training",0.87284259416503,"hybrid","Task/generator mean","CTGAN"
"Feature generator input","Adult","Target included in generator training",0.774188072871645,"hybrid","Task/generator mean","TVAE"
"Feature generator input","Covertype","Target included in generator training",0.592533395526593,"hybrid","Task/generator mean","TVAE"
"Feature generator input","MNIST12","Target included in generator training",0.938982048981936,"hybrid","Task/generator mean","TVAE"
"Feature generator input","MNIST28","Target included in generator training",0.954587810187374,"hybrid","Task/generator mean","TVAE"
"End-to-end vs hybrid","Adult","hybrid",0.774032042649755,"hybrid","Task/generator mean","CTGAN"
"End-to-end vs hybrid","Covertype","hybrid",0.633427982158658,"hybrid","Task/generator mean","CTGAN"
"End-to-end vs hybrid","MNIST12","hybrid",0.879136961757324,"hybrid","Task/generator mean","CTGAN"
"End-to-end vs hybrid","MNIST28","hybrid",0.873354520317996,"hybrid","Task/generator mean","CTGAN"
"End-to-end vs hybrid","Adult","hybrid",0.774764753199492,"hybrid","Task/generator mean","TVAE"
"End-to-end vs hybrid","Covertype","hybrid",0.583486952449953,"hybrid","Task/generator mean","TVAE"
"End-to-end vs hybrid","MNIST12","hybrid",0.937442640215251,"hybrid","Task/generator mean","TVAE"
"End-to-end vs hybrid","MNIST28","hybrid",0.954660793677409,"hybrid","Task/generator mean","TVAE"
"End-to-end vs hybrid","Adult","e2e",0.774334365357081,"e2e","Task/generator mean","CTGAN"
"End-to-end vs hybrid","Covertype","e2e",0.483519528518426,"e2e","Task/generator mean","CTGAN"
"End-to-end vs hybrid","MNIST12","e2e",0.481595237719201,"e2e","Task/generator mean","CTGAN"
"End-to-end vs hybrid","MNIST28","e2e",0.445358108102636,"e2e","Task/generator mean","CTGAN"
"End-to-end vs hybrid","Adult","e2e",0.746145960687984,"e2e","Task/generator mean","TVAE"
"End-to-end vs hybrid","Covertype","e2e",0.49,"e2e","Task/generator mean","TVAE"
"End-to-end vs hybrid","MNIST12","e2e",0.924846294322351,"e2e","Task/generator mean","TVAE"
"End-to-end vs hybrid","MNIST28","e2e",0.935625921,"e2e","Task/generator mean","TVAE"
