"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"approach",0.0160253596083392,0.0160253596083392,1,5.5088318375591,3.82708963593258,0.102484069829198
"has_y",0.000103986250033572,0.000103986250033572,1,62.2224565257799,0.024833433352465,0.875293098492311
"approach:has_y",NA,NA,NA,NA,NA,NA
