"","contrast","tvae","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","with_y_minus_without_y","0",-0.00254934121433227,0.00669696903865137,46,-0.0160296407183333,0.0109309582896687,-0.380670897478966,0.705199808685426
"2","with_y_minus_without_y","1",-0.00254934121433227,0.00669696903865137,46,-0.0160296407183333,0.0109309582896687,-0.380670897478966,0.705199808685426
