"","y_synth","emmean","SE","df","lower.CL","upper.CL","approach"
"1","ctgan",0.554512879177691,0.0142064166618802,46,0.525916845602577,0.583108912752805,"old"
"2","tvae",0.720200833823983,0.0142064166618802,46,0.691604800248869,0.748796867399098,"old"
"3","categorical",0.707637532351114,0.00669696903865136,46,0.694157232847113,0.721117831855115,"new"
"4","pca_gmm",0.704558595007148,0.00669696903865134,46,0.691078295503147,0.718038894511149,"new"
"5","rf",0.797567630975798,0.00669696903865134,46,0.784087331471797,0.811047930479799,"new"
"6","xgb",0.805009030630662,0.00669696903865136,46,0.791528731126661,0.818489330134663,"new"
