"","dataset","method","has_y","tvae","approach","y_synth","macro_max","macro_end"
"1","Adult","categorical","0","0","new","categorical",0.720889311054937,0.718510577554964
"2","Covertype","categorical","0","0","new","categorical",0.480348134235759,0.48018107462547
"3","MNIST12","categorical","0","0","new","categorical",0.794967096262806,0.791463152
"4","MNIST28","categorical","0","0","new","categorical",0.810494561791557,0.805161302116299
"5","Adult","compare_sdv_categorical","1","0","new","categorical",0.718470628215018,0.717138671422937
"6","Covertype","compare_sdv_categorical","1","0","new","categorical",0.480505529455629,0.479833131658219
