"","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",0.568045452739897,1,791.601343712208,1.24026052137358e-30
"y_synth",0.0110413383548406,5,3.07733764469551,0.0176997211216016
"dataset",0.0703169926197257,3,32.663481167509,1.83091377961842e-11
"has_y",0.000103986250033487,1,0.144910332187438,0.70519980868543
"tvae",0.00316869797811723,1,4.41574800959511,0.0411159077029897
"y_synth:dataset",0.227317905611586,15,21.1186339243374,1.01121518225224e-15
"Residuals",0.0330091542082261,46,NA,NA
