"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"y_synth",5,0.308489059137536,0.0616978118275071,85.9791597858649,3.55392877210076e-22
"dataset",3,1.20943564262003,0.403145214206676,561.804150949303,3.1254765458112e-36
"has_y",1,0.000103986250033495,0.000103986250033495,0.144910332187448,0.70519980868542
"tvae",1,0.00316869797811718,0.00316869797811718,4.41574800959505,0.0411159077029912
"y_synth:dataset",15,0.227317905611586,0.0151545270407724,21.1186339243374,1.01121518225222e-15
"Residuals",46,0.0330091542082261,0.000717590308874481,NA,NA
