Dataset,Train_Augment_Option,Augment_Type,test_loss_end,test_loss_max,test_mae_end,test_mae_max,test_mape_end,test_mape_max,test_mse_end,test_mse_max,test_r2_end,test_r2_max
news,Original,original,123936585.28263336,131746501.21579014,2368.9246130298734,3329.67787612194,0.5850618953183616,1.005709154524017,123936589.67173883,131746503.19297215,-0.0270548229543983,-0.0270150514934599
news,Synthetic,categorical,127995105.71900618,131748187.99369404,2571.885912988176,3329.1573769566494,0.6693766364756026,1.002380810168848,127995106.46959363,131748186.9045069,-0.06068749965075175,-0.0392103939134266
news,Synthetic,ctgan,119064457.71408753,131738517.25753564,2755.673957785256,3329.967157006399,1.3976438696546398,1.4063426294591876,119064459.5329497,131738516.8972596,0.013320216978186701,0.01616727589372525
news,Synthetic,gaussian,148482003.6498928,149859665.46147054,4812.9724579454,4864.086287801692,3.047412277744074,3.1028007525578865,148482007.91496015,149859666.50334403,-0.2304611798253089,-0.008182107058121599
news,Synthetic,pca_gmm,9779724804.29411,9852126199.444065,39992.74704337052,45876.44262864662,33.439736843304814,38.73301049277687,9779724836.701927,9852126207.506262,-80.04397246450964,-0.04478407465280605
