"scenario","analysis","datasets","joint_mean","rf_xgb_mean","gain","relative_gain","lower_95","upper_95","p_value","p_holm"
"Recorded","CTGAN features",4,0.546201809924336,0.789987876720933,0.243786066796597,0.446329657586393,-0.0822741579825853,0.569846291575779,0.0976684691147374,0.195336938229475
"Recorded","TVAE features",4,0.725962561863005,0.812588784885526,0.0866262230225208,0.119326019788425,-0.125401851699487,0.298654297744528,0.28440111856439,0.28440111856439
"Paper TVAE Covertype: hypothetical","CTGAN features",4,0.546201809924336,0.789987876720933,0.243786066796597,0.446329657586393,-0.0822741579825853,0.569846291575779,0.0976684691147374,0.195336938229475
"Paper TVAE Covertype: hypothetical","TVAE features",4,0.759904544002584,0.812588784885526,0.0526842408829423,0.0693300774403097,-0.0515938442201194,0.156962325986004,0.206229781527641,0.206229781527641
