"metric","recorded","borrowed","assumption"
"macro_max",0.297232071441686,0.433,"Paper classifier-average score substituted into local DNN summary; hypothetical"
"macro_end",0.267245919505186,0.433,"Paper classifier-average score substituted into local DNN summary; hypothetical"
