"source","source_row","source_col","dataset_label","method","metric","value","dataset","endpoint","provenance_note","paper_metric","matches_paper_metric","paper_score","difference_from_paper"
"Mar23.csv",16,35,"Covertype","ctgan","test_f1_micro_max",0.680378303486141,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"Mar23.csv",26,35,"Covertype","tvae","test_f1_micro_max",0.652642358631016,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"Mar23.csv",16,36,"MNIST12","ctgan","test_f1_micro_max",0.5544,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1604
"Mar23.csv",26,36,"MNIST12","tvae","test_f1_micro_max",0.9252,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1322
"Mar23.csv",16,37,"MNIST28","ctgan","test_f1_micro_max",0.5341,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.1631
"Mar23.csv",26,37,"MNIST28","tvae","test_f1_micro_max",0.9361,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1421
"April02.csv",16,8,"Adult","ctgan","test_f1_macro_end",0.769091981568053,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April02.csv",26,8,"Adult","tvae","test_f1_macro_end",0.717780849406944,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April02.csv",16,9,"Census","ctgan","test_f1_macro_end",0.759810173999754,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April02.csv",26,9,"Census","tvae","test_f1_macro_end",0.722292402070304,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April02.csv",16,10,"Covertype","ctgan","test_f1_macro_end",0.474843098747026,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.150843098747026
"April02.csv",26,10,"Covertype","tvae","test_f1_macro_end",0.267245919505186,"Covertype","end","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.165754080494814
"April02.csv",16,11,"MNIST12","ctgan","test_f1_macro_end",0.470391688519029,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April02.csv",26,11,"MNIST12","tvae","test_f1_macro_end",0.921689996836233,"MNIST12","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April02.csv",16,12,"MNIST28","ctgan","test_f1_macro_end",0.391620406619296,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April02.csv",26,12,"MNIST28","tvae","test_f1_macro_end",0.928944942288383,"MNIST28","end","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April02.csv",16,19,"Adult","ctgan","test_f1_macro_max",0.7761298938353,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April02.csv",26,19,"Adult","tvae","test_f1_macro_max",0.75039441158522,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April02.csv",16,20,"Census","ctgan","test_f1_macro_max",0.773371560767673,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April02.csv",26,20,"Census","tvae","test_f1_macro_max",0.738379102428347,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April02.csv",16,21,"Covertype","ctgan","test_f1_macro_max",0.483519528518426,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.324,0.159519528518426
"April02.csv",26,21,"Covertype","tvae","test_f1_macro_max",0.297232071441686,"Covertype","max","Historical synthetic-only pivot","Macro-F1",TRUE,0.433,-0.135767928558314
"April02.csv",16,22,"MNIST12","ctgan","test_f1_macro_max",0.481595237719201,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April02.csv",26,22,"MNIST12","tvae","test_f1_macro_max",0.924846294322351,"MNIST12","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April02.csv",16,23,"MNIST28","ctgan","test_f1_macro_max",0.445358108102636,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April02.csv",26,23,"MNIST28","tvae","test_f1_macro_max",0.935625921,"MNIST28","max","Historical synthetic-only pivot","Accuracy",FALSE,NA,NA
"April02.csv",16,30,"Adult","ctgan","test_f1_micro_end",0.818916649170691,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April02.csv",26,30,"Adult","tvae","test_f1_micro_end",0.807264329,"Adult","end","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April02.csv",16,31,"Census","ctgan","test_f1_micro_end",0.809573798026454,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April02.csv",26,31,"Census","tvae","test_f1_micro_end",0.804534956959899,"Adult","end","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April02.csv",16,32,"Covertype","ctgan","test_f1_micro_end",0.676402502517147,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"April02.csv",26,32,"Covertype","tvae","test_f1_micro_end",0.643942066900166,"Covertype","end","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"April02.csv",16,33,"MNIST12","ctgan","test_f1_micro_end",0.5326,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1386
"April02.csv",26,33,"MNIST12","tvae","test_f1_micro_end",0.9219,"MNIST12","end","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1289
"April02.csv",16,34,"MNIST28","ctgan","test_f1_micro_end",0.4077,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.0367
"April02.csv",26,34,"MNIST28","tvae","test_f1_micro_end",0.9291,"MNIST28","end","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1351
"April02.csv",16,41,"Adult","ctgan","test_f1_micro_max",0.832878437959269,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April02.csv",26,41,"Adult","tvae","test_f1_micro_max",0.816712156204073,"Adult","max","Historical synthetic-only pivot","Binary F1",FALSE,NA,NA
"April02.csv",16,42,"Census","ctgan","test_f1_micro_max",0.82605500734831,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April02.csv",26,42,"Census","tvae","test_f1_micro_max",0.814402687381902,"Adult","max","Adult alias; not an independent dataset","Binary F1",FALSE,NA,NA
"April02.csv",16,43,"Covertype","ctgan","test_f1_micro_max",0.680378303486141,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"April02.csv",26,43,"Covertype","tvae","test_f1_micro_max",0.652642358631016,"Covertype","max","Historical synthetic-only pivot","Macro-F1",FALSE,NA,NA
"April02.csv",16,44,"MNIST12","ctgan","test_f1_micro_max",0.5544,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.394,0.1604
"April02.csv",26,44,"MNIST12","tvae","test_f1_micro_max",0.9252,"MNIST12","max","Historical synthetic-only pivot","Accuracy",TRUE,0.793,0.1322
"April02.csv",16,45,"MNIST28","ctgan","test_f1_micro_max",0.5341,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.371,0.1631
"April02.csv",26,45,"MNIST28","tvae","test_f1_micro_max",0.9361,"MNIST28","max","Historical synthetic-only pivot","Accuracy",TRUE,0.794,0.1421
"April29.csv",16,4,"Adult","ctgan","test_f1_binary_end",0.661831013526759,"Adult","end","Historical synthetic-only pivot","Binary F1",TRUE,0.601,0.0608310135267595
"April29.csv",26,4,"Adult","tvae","test_f1_binary_end",0.558865929841422,"Adult","end","Historical synthetic-only pivot","Binary F1",TRUE,0.626,-0.0671340701585776
"April29.csv",16,5,"Census","ctgan","test_f1_binary_end",0.650481695568401,"Adult","end","Adult alias; not an independent dataset","Binary F1",TRUE,0.601,0.0494816955684008
