"family","scenario","metric","dataset","score.new","score.old","gain"
"All_methods","Recorded","macro_max","Adult",0.727457477979948,0.760240163022533,-0.032782685042585
"All_methods","Recorded","macro_max","Covertype",0.508554869434091,0.390375799980056,0.118179069454035
"All_methods","Recorded","macro_max","MNIST12",0.762000385856637,0.703220766020776,0.0587796198358606
"All_methods","Recorded","macro_max","MNIST28",0.781027102569632,0.690492014551318,0.0905350880183143
"All_methods","Recorded","macro_end","Adult",0.701323826012514,0.743588973257797,-0.0422651472452829
"All_methods","Recorded","macro_end","Covertype",0.498738273391548,0.371044509126106,0.127693764265442
"All_methods","Recorded","macro_end","MNIST12",0.75851594564725,0.696040842677631,0.0624751029696196
"All_methods","Recorded","macro_end","MNIST28",0.773908307694136,0.660282674453839,0.113625633240297
"All_methods","Paper TVAE Covertype: hypothetical","macro_max","Adult",0.727457477979948,0.760240163022533,-0.032782685042585
"All_methods","Paper TVAE Covertype: hypothetical","macro_max","Covertype",0.508554869434091,0.458259764259213,0.0502951051748778
"All_methods","Paper TVAE Covertype: hypothetical","macro_max","MNIST12",0.762000385856637,0.703220766020776,0.0587796198358606
"All_methods","Paper TVAE Covertype: hypothetical","macro_max","MNIST28",0.781027102569632,0.690492014551318,0.0905350880183143
"All_methods","Paper TVAE Covertype: hypothetical","macro_end","Adult",0.701323826012514,0.743588973257797,-0.0422651472452829
"All_methods","Paper TVAE Covertype: hypothetical","macro_end","Covertype",0.498738273391548,0.453921549373513,0.044816724018035
"All_methods","Paper TVAE Covertype: hypothetical","macro_end","MNIST12",0.75851594564725,0.696040842677631,0.0624751029696196
"All_methods","Paper TVAE Covertype: hypothetical","macro_end","MNIST28",0.773908307694136,0.660282674453839,0.113625633240297
"No_Gaussian","Recorded","macro_max","Adult",0.750495470288747,0.760240163022533,-0.00974469273378631
"No_Gaussian","Recorded","macro_max","Covertype",0.542515134199186,0.390375799980056,0.15213933421913
"No_Gaussian","Recorded","macro_max","MNIST12",0.856611384013583,0.703220766020776,0.153390617992807
"No_Gaussian","Recorded","macro_max","MNIST28",0.865150800463206,0.690492014551318,0.174658785911888
"No_Gaussian","Recorded","macro_end","Adult",0.725714581627251,0.743588973257797,-0.0178743916305457
"No_Gaussian","Recorded","macro_end","Covertype",0.531700347086946,0.371044509126106,0.16065583796084
"No_Gaussian","Recorded","macro_end","MNIST12",0.854178603453032,0.696040842677631,0.158137760775401
"No_Gaussian","Recorded","macro_end","MNIST28",0.859890991477842,0.660282674453839,0.199608317024003
"No_Gaussian","Paper TVAE Covertype: hypothetical","macro_max","Adult",0.750495470288747,0.760240163022533,-0.00974469273378631
"No_Gaussian","Paper TVAE Covertype: hypothetical","macro_max","Covertype",0.542515134199186,0.458259764259213,0.0842553699399726
"No_Gaussian","Paper TVAE Covertype: hypothetical","macro_max","MNIST12",0.856611384013583,0.703220766020776,0.153390617992807
"No_Gaussian","Paper TVAE Covertype: hypothetical","macro_max","MNIST28",0.865150800463206,0.690492014551318,0.174658785911888
"No_Gaussian","Paper TVAE Covertype: hypothetical","macro_end","Adult",0.725714581627251,0.743588973257797,-0.0178743916305457
"No_Gaussian","Paper TVAE Covertype: hypothetical","macro_end","Covertype",0.531700347086946,0.453921549373513,0.077778797713433
"No_Gaussian","Paper TVAE Covertype: hypothetical","macro_end","MNIST12",0.854178603453032,0.696040842677631,0.158137760775401
"No_Gaussian","Paper TVAE Covertype: hypothetical","macro_end","MNIST28",0.859890991477842,0.660282674453839,0.199608317024003
"RF_XGB","Recorded","macro_max","Adult",0.774398397924624,0.760240163022533,0.0141582349020907
"RF_XGB","Recorded","macro_max","Covertype",0.608457467304305,0.390375799980056,0.218081667324249
"RF_XGB","Recorded","macro_max","MNIST12",0.908289800986287,0.703220766020776,0.205069034965511
"RF_XGB","Recorded","macro_max","MNIST28",0.914007656997702,0.690492014551318,0.223515642446384
"RF_XGB","Recorded","macro_end","Adult",0.735828385443205,0.743588973257797,-0.00776058781459199
"RF_XGB","Recorded","macro_end","Covertype",0.599738112117212,0.371044509126106,0.228693602991106
"RF_XGB","Recorded","macro_end","MNIST12",0.906810139647846,0.696040842677631,0.210769296970215
"RF_XGB","Recorded","macro_end","MNIST28",0.909668252115676,0.660282674453839,0.249385577661837
"RF_XGB","Paper TVAE Covertype: hypothetical","macro_max","Adult",0.774398397924624,0.760240163022533,0.0141582349020907
"RF_XGB","Paper TVAE Covertype: hypothetical","macro_max","Covertype",0.608457467304305,0.458259764259213,0.150197703045093
"RF_XGB","Paper TVAE Covertype: hypothetical","macro_max","MNIST12",0.908289800986287,0.703220766020776,0.205069034965511
"RF_XGB","Paper TVAE Covertype: hypothetical","macro_max","MNIST28",0.914007656997702,0.690492014551318,0.223515642446384
"RF_XGB","Paper TVAE Covertype: hypothetical","macro_end","Adult",0.735828385443205,0.743588973257797,-0.00776058781459199
"RF_XGB","Paper TVAE Covertype: hypothetical","macro_end","Covertype",0.599738112117212,0.453921549373513,0.145816562743699
"RF_XGB","Paper TVAE Covertype: hypothetical","macro_end","MNIST12",0.906810139647846,0.696040842677631,0.210769296970215
"RF_XGB","Paper TVAE Covertype: hypothetical","macro_end","MNIST28",0.909668252115676,0.660282674453839,0.249385577661837
