"family","scenario","metric","datasets","joint_mean","proposed_mean","gain","relative_gain","lower_95","upper_95","p_value"
"All_methods","Recorded","macro_max",4,0.636082185893671,0.694759958960077,0.0586777730664061,0.0922487288084733,-0.0457478493895067,0.163103395522319,0.171690409712178
"All_methods","Recorded","macro_end",4,0.617739249878843,0.683121588186362,0.0653823383075189,0.105841321108125,-0.057209203120026,0.187973879735064,0.188204541038282
"All_methods","Paper TVAE Covertype: hypothetical","macro_max",4,0.65305317696346,0.694759958960077,0.0417067819966169,0.0638642969176621,-0.0419806911248816,0.125394255118115,0.210921948017222
"All_methods","Paper TVAE Covertype: hypothetical","macro_end",4,0.638458509940695,0.683121588186362,0.0446630782456671,0.0699545507660564,-0.0585811983413806,0.147907354832715,0.26235240454571
"No_Gaussian","Recorded","macro_max",4,0.636082185893671,0.75369319724118,0.11761101134751,0.184899080583857,-0.018486821403606,0.253708844098625,0.0707327989784545
"No_Gaussian","Recorded","macro_end",4,0.617739249878843,0.742871130911268,0.125131881032425,0.202564238968087,-0.0295496144419468,0.279813376506796,0.0821721228892549
"No_Gaussian","Paper TVAE Covertype: hypothetical","macro_max",4,0.65305317696346,0.75369319724118,0.10064002027772,0.154106930075239,-0.0315836499016932,0.232863690457134,0.0939776676533111
"No_Gaussian","Paper TVAE Covertype: hypothetical","macro_end",4,0.638458509940695,0.742871130911268,0.104412620970573,0.163538615814317,-0.0482455533252713,0.257070795266417,0.117715519258579
"RF_XGB","Recorded","macro_max",4,0.636082185893671,0.80128833080323,0.165206144909559,0.259724527071059,0.00449959254782986,0.325912697271288,0.0467223402422246
"RF_XGB","Recorded","macro_end",4,0.617739249878843,0.788011222330985,0.170271972452142,0.275637289496397,-0.0202492878623556,0.360793232766639,0.0654198997294639
"RF_XGB","Paper TVAE Covertype: hypothetical","macro_max",4,0.65305317696346,0.80128833080323,0.14823515383977,0.226987876437609,-0.00237929069503357,0.298849598374573,0.0519778737062604
"RF_XGB","Paper TVAE Covertype: hypothetical","macro_end",4,0.638458509940695,0.788011222330985,0.14955271239029,0.234240299192161,-0.0306505392142461,0.329755963994826,0.0775795786516322
