"family","scenario","labeler_random","singular","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"All_methods","Recorded",FALSE,TRUE,"proposed_minus_joint",0.0586777730664001,0.0562056582265607,84.9995285856412,-0.0530741423514364,0.170429688484237,1.04398338028308,0.299453119566693
"All_methods","Recorded",TRUE,TRUE,"proposed_minus_joint",0.0586777730663558,0.117584276398004,8.49537993093253,-0.209744398688995,0.327099944821707,0.49902737733182,0.630425199533825
"All_methods","Paper TVAE Covertype: hypothetical",FALSE,TRUE,"proposed_minus_joint",0.0417067819966113,0.0558265042765132,84.9207128686024,-0.0692927609492551,0.152706324942478,0.747078516505962,0.45707971449281
"All_methods","Paper TVAE Covertype: hypothetical",TRUE,TRUE,"proposed_minus_joint",0.0417067819965358,0.120902169799918,8.52698507343938,-0.234123210134588,0.31753677412766,0.344963056209468,0.738477669689435
"No_Gaussian","Recorded",FALSE,FALSE,"proposed_minus_joint",0.117611011347507,0.0313619680483549,69.0172957034987,0.0550458766921215,0.180176146002892,3.75011578247164,0.000363970838542865
"No_Gaussian","Recorded",TRUE,FALSE,"proposed_minus_joint",0.117611011347492,0.066865464223559,7.51363875302964,-0.0383357394620467,0.273557762157031,1.75892013482879,0.119068933517601
"No_Gaussian","Paper TVAE Covertype: hypothetical",FALSE,FALSE,"proposed_minus_joint",0.100640020277716,0.0305607833774102,69.0178339627783,0.0396732066429585,0.161606833912474,3.29310996497907,0.00156483521581179
"No_Gaussian","Paper TVAE Covertype: hypothetical",TRUE,FALSE,"proposed_minus_joint",0.100640020277689,0.074801454280749,7.39018748652951,-0.0743616655387652,0.275641706094143,1.34542865837823,0.218304816512736
"RF_XGB","Recorded",FALSE,FALSE,"proposed_minus_joint",0.165206144909559,0.036839654673321,37.0217523183607,0.0905633946457139,0.239848895173403,4.48446507912572,6.8396329418479e-05
"RF_XGB","Recorded",TRUE,TRUE,"proposed_minus_joint",0.165206144909559,0.0769766500068174,45.6689333205656,0.01022986775776,0.320182422061359,2.14618517297035,0.0372059892433856
"RF_XGB","Paper TVAE Covertype: hypothetical",FALSE,FALSE,"proposed_minus_joint",0.148235153839771,0.034870075706136,37.0287438338769,0.0775835205033386,0.218886787176203,4.25107060532381,0.000138187341239182
"RF_XGB","Paper TVAE Covertype: hypothetical",TRUE,FALSE,"proposed_minus_joint",0.148235153839774,0.0989201568039449,7.90679873483495,-0.0803440152600245,0.376814322939573,1.49853334880543,0.172814185941849
