"analysis","proposed_mean","baseline_mean","gain","relative_gain","lower_95","upper_95","p_value"
"All_methods_max",0.694759958960077,0.636082185893671,0.0586777730664061,0.0922487288084733,-0.0457478493895067,0.163103395522319,0.171690409712178
"No_Gaussian_max",0.75369319724118,0.636082185893671,0.11761101134751,0.184899080583857,-0.018486821403606,0.253708844098625,0.0707327989784545
"All_methods_end",0.683121588186362,0.617739249878843,0.0653823383075189,0.105841321108125,-0.057209203120026,0.187973879735064,0.188204541038282
"No_Gaussian_end",0.742871130911268,0.617739249878843,0.125131881032425,0.202564238968087,-0.0295496144419468,0.279813376506796,0.0821721228892549
