"generator","tasks","joint_mean","decoupled_mean","gain","relative_gain","lower_95","upper_95","p_value","p_holm"
"CTGAN-based",4,0.546201809924336,0.789987876720933,0.243786066796597,0.446329657586394,-0.0822741579825853,0.56984629157578,0.0976684691147374,0.195336938229475
"TVAE-based",4,0.774154544002584,0.812588784885526,0.0384342408829423,0.0496467290422751,-0.0208985166969178,0.0977669984628025,0.131306046231678,0.195336938229475
