,test_f1_binary_end,test_f1_binary_end,test_f1_binary_end,test_f1_binary_end,test_f1_binary_end,test_f1_binary_max,test_f1_binary_max,test_f1_binary_max,test_f1_binary_max,test_f1_binary_max,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_end,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_macro_max,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_end,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max,test_f1_micro_max
train_option,mix,original,synthetic,synthetic,synthetic,mix,original,synthetic,synthetic,synthetic,mix,original,original,original,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,mix,original,original,original,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,mix,original,original,original,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic,mix,original,original,original,original,original,original,synthetic,synthetic,synthetic,synthetic,synthetic,synthetic
dataset_name,Adult_mix,Census_Kdd,Adult,Census,Census_Kdd,Adult_mix,Census_Kdd,Adult,Census,Census_Kdd,Adult_mix,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult_mix,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult_mix,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult_mix,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28,Adult,Census,Census_Kdd,Covertype,MNIST12,MNIST28
augment_option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compare_sdv_tvae_pca_gmm,,,,,0.6132908643405242,,,,,0.6331178824253616,,,,,,,,0.7052208652116598,0.7004852002408257,0.6966824844551529,0.3975439148479092,0.8104642601352893,0.8304517528435943,,,,,,,,0.7291849478767339,0.726899842,0.722083823,0.4345079476952128,0.8134890539953397,0.831846886,,,,,,,,0.7300021,0.7243334033172371,0.71960949,0.6692,0.813,0.833,,,,,,,,0.7613898803275246,0.756875919,0.7508922947722024,0.6802,0.816,0.8343
compare_sdv_tvae_rf,,,,,0.593904663,,,,,0.6629550321199144,,,,,,,,0.745627614,0.7520767058893754,0.7457132594898384,0.5493244915691269,0.9323312900535364,0.9460543310484828,,,,,,,,0.7711347277895999,0.776525897,0.7767563368081146,0.5519491857160768,0.9330500265880256,0.9481754792743964,,,,,,,,0.8371824480369515,0.8376023514591644,0.8363426411925258,0.7813,0.9327,0.9465,,,,,,,,0.8425362166701659,0.8405416754146546,0.840226748,0.7813,0.9334,0.9486
compare_sdv_tvae_xgb,,,,,0.5694154488517745,,,,,0.65532479,,,,,,,,0.7310692897125062,0.7298005193162309,0.7305027309961896,0.6239965758382997,0.9429362235836736,0.9598570628761118,,,,,,,,0.7737227777157561,0.7730231223616542,0.7739655755547414,0.6331176053371088,0.9449140713758448,0.9610001411003516,,,,,,,,0.8300440898593323,0.8254251522149906,0.8267898383371824,0.782,0.9432,0.9601,,,,,,,,0.8409615788368675,0.8394919168591224,0.8397018685702289,0.7841,0.9452,0.9612
compare_sdv_xgb,,,0.4935501962983735,0.5661650233523612,0.5617154811715481,,,0.6442307692307693,0.660234899,0.6557235421166306,,,,,,,,0.6884643658748745,0.728075274,0.7258275330732971,0.5925999127376259,0.8754956119144719,0.8608293168606955,,,,,,,,0.7692390179912588,0.7734106448478515,0.772598978,0.6037591743818826,0.8770008373139151,0.8707822087272559,,,,,,,,0.8104136048708797,0.8244803695150116,0.8240604660927987,0.7671574744197655,0.8766,0.855,,,,,,,,0.839806844,0.8418013856812933,0.8422212891035062,0.7678459248040068,0.8779,0.867
ctgan,0.6571834992887624,,0.6618310135267594,0.6504816955684007,0.6620111731843575,0.6789324706833805,,0.6672117743254292,0.6649361022364217,0.665055388,0.7798523671447183,,,,,,,0.7690919815680533,0.7598101739997537,0.7706779512645434,0.4748430987470255,0.4703916885190288,0.3916204066192958,0.7869957962018506,,,,,,,0.7761298938352998,0.7733715607676727,0.7735016414682718,0.4835195285184258,0.4815952377192015,0.4453581081026362,0.8482049128700399,,,,,,,0.8189166491706907,0.8095737980264539,0.8221709006928406,0.6764025025171467,0.5326,0.4077,0.8498845265588915,,,,,,,0.8328784379592694,0.8260550073483098,0.8254251522149906,0.6803783034861406,0.5544,0.5341
gaussian,0.4451970443349753,,0.2672204915195569,0.3902439024390244,0.3655705996131528,0.4451970443349753,,0.3057795698924731,0.4283987915407855,0.4200913242009132,0.6655876388468094,,,,,,,0.5681211657622532,0.6345683180015191,0.6210925098379244,0.3573125747419766,0.3054183029267149,0.4723245548384792,0.6655876388468094,,,,,,,0.5886325070164034,0.6541053797622616,0.6496346771318513,0.3601275943805416,0.3236030574819976,0.4865010567349731,0.8108335082930926,,,,,,,0.7777661137938274,0.7979214780600462,0.7934075162712576,0.4427596533652315,0.3752,0.4939,0.8112534117153055,,,,,,,0.7831198824270418,0.801595633,0.8013856812933026,0.4441795822827293,0.3885,0.5075
none,,0.6869009584664537,,,,,0.6883322049198827,,,,,0.7912847585843994,0.7953328387727556,0.7966883797103912,0.9067320812111248,0.9589100035025108,0.977846374,,,,,,,,0.7968830642878052,0.7978481474767674,0.7969395105715615,0.9087902643511816,0.9598955126444318,0.9791516826589722,,,,,,,,0.8558681503254252,0.8545034642032333,0.8559731261809784,0.9400445771623795,0.9591,0.9779,,,,,,,,0.8575477640142767,0.8569179088809574,0.857232836,0.9400445771623795,0.9601,0.9792,,,,,,
pca_gmm,0.6115859449192782,,0.5562653562653562,0.5893900444028979,0.5980462234929712,0.6566515837104072,,0.6378400324807145,0.6203554119547657,0.6419302514193025,0.750671679,,,,,,,0.7178603513405275,0.7352284277385774,0.7422408835404943,0.4678613556494798,0.7829122790243647,0.7841584049272095,0.7668110871760498,,,,,,,0.7557740442737708,0.7542975510755553,0.7584297149447787,0.4792203624228391,0.787593435,0.7985447929975746,0.8282595003149276,,,,,,,0.8104136048708797,0.8155574217929876,0.8229057316817132,0.7003777871483524,0.783,0.7866,0.8339281965148015,,,,,,,0.8252152005038841,0.8289943313038002,0.8299391140037792,0.7050592497611937,0.7878,0.801
rf,0.6498941923348225,,0.6192818494835219,0.5949008498583569,0.6064614601882473,0.6738474795346834,,0.6618119511672735,0.6643995749202976,0.6670789527932385,0.7746396429611135,,,,,,,0.7579927197504357,0.7456012588668144,0.7520767058893754,0.6414576890135034,0.8816215572486479,0.8587534287735108,0.7843907765473556,,,,,,,0.7760147845942743,0.7771708615522934,0.7766772835932956,0.6527164450673965,0.8837177043389772,0.8675718944451896,0.8436909510812514,,,,,,,0.8374973756036111,0.8348729792147807,0.8376023514591644,0.793,0.8814,0.8586,0.8466302750367416,,,,,,,0.8408566029813143,0.8418013856812933,0.8415914339701869,0.7947,0.8836,0.8675
sdv_tvae_categorical,,,,,0.6042014004668222,,,,,0.6062426973794024,,,,,,,,0.7119700527820051,0.7107402488555818,0.7111707170864829,0.487556135,0.8140095282736771,0.828504185,,,,,,,,0.7128105876738027,0.7125060206784795,0.7128143277877794,0.4906254341566285,0.8166074611458665,0.8309354815861824,,,,,,,,0.7529918118832668,0.7496325845055637,0.7507873189166492,0.6351,0.8166,0.8309,,,,,,,,0.7536216670165862,0.7519420533277347,0.7523619567499475,0.6358,0.8193,0.8333
sdv_tvae_gaussian,,,,,0.3476842791911285,,,,,0.4052369077306733,,,,,,,,0.5927665214670166,0.6198234694351733,0.6112874042020949,0.3759357247832753,0.4021400270662401,0.4465836996680165,,,,,,,,0.6277281804323811,0.6463865557353358,0.6424063862056548,0.3856187786438099,0.4049447098298322,0.4492458899687309,,,,,,,,0.7835397858492547,0.793092589,0.7900482888935545,0.4591,0.4757,0.5223,,,,,,,,0.7935124921268109,0.8009657778710897,0.799706068,0.4613,0.4785,0.5236
sdv_tvae_pca_gmm,,,,,0.617262167,,,,,0.6354462314727215,,,,,,,,0.7167552354977896,0.7055690671344098,0.7023948580499315,0.4203120485121766,0.813437075,0.8301156173304616,,,,,,,,0.7292292660974358,0.7283813892193907,0.7267711094421043,0.4589683885829355,0.8157239140622128,0.8326137357706891,,,,,,,,0.7466932605500735,0.7312618097837498,0.7267478479949612,0.6686,0.816,0.8324,,,,,,,,0.762019735,0.7592903632164603,0.757295822,0.6856,0.8183,0.8349
sdv_tvae_rf,,,,,0.5812148782445812,,,,,0.6542649727767695,,,,,,,,0.7382145513145162,0.7450013875541358,0.7395137401343703,0.5522071596652971,0.9302460860266192,0.9469810668217504,,,,,,,,0.7719946249589884,0.7839526068765121,0.7750975232635555,0.5633304213580282,0.9314213700128904,0.9477908484801294,,,,,,,,0.8326684862481629,0.8378123031702709,0.8357127860592064,0.7742,0.9306,0.9474,,,,,,,,0.8414864581146336,0.8455805164812094,0.8441108545034642,0.7806,0.9318,0.9482
sdv_tvae_xgb,,,,,0.5669630827270278,,,,,0.6571687019448214,,,,,,,,0.7303360029130026,0.7282080396366846,0.7311055554434305,0.5733181056124511,0.9396494007184604,0.9609658054022924,,,,,,,,0.7675032857546704,0.7767275563103134,0.776773004,0.5855505973885963,0.9403850928842428,0.9616767058547572,,,,,,,,0.8277346210371614,0.8307789208482049,0.8313038,0.7731,0.9398,0.9612,,,,,,,,0.8410665546924208,0.8446357337812304,0.8441108545034642,0.7753,0.9407,0.9619
tvae,,,0.5588659298414224,0.5711653615845232,0.5699745547073791,,,0.6350507416081187,0.597544338,0.6375047546595664,,,,,,,,0.7177808494069435,0.7222924020703038,0.7218804812371846,0.2672459195051856,0.9216899968362328,0.9289449422883832,,,,,,,,0.7503944115852196,0.7383791024283467,0.7496643680503863,0.2972320714416863,0.9248462943223508,0.935625921,,,,,,,,0.807264329,0.8045349569598992,0.8048498845265589,0.6439420669001661,0.9219,0.9291,,,,,,,,0.8167121562040731,0.8144026873819021,0.8096787738820072,0.6526423586310164,0.9252,0.9361
xgb,0.6461170848267622,,0.5821547955772692,0.5697791164658634,0.5395373856912319,0.6590409150901891,,0.6557518311072813,0.65010352,0.6647677475898335,0.7732502421510552,,,,,,,0.7374930147509772,0.7280140604893692,0.7139450330047394,0.6346473583140428,0.8787915436373581,0.8727587442749101,0.7771508611456992,,,,,,,0.7724283097243554,0.7739578363107567,0.779581555,0.646754193,0.8807323097061156,0.8801609984967349,0.8445307579256771,,,,,,,0.829414235,0.8200713835817762,0.8202813352928826,0.7787,0.8783,0.8712,0.8480999370144867,,,,,,,0.8406466512702079,0.8434809993701449,0.8439009027923577,0.7808,0.8803,0.8793
