"analysis","datasets","joint_mean","rf_xgb_mean","gain","relative_gain","lower_95","upper_95","p_value","p_holm"
"CTGAN features, no Covertype",3,0.567095903726306,0.842174508241692,0.275078604515385,0.485065405529969,-0.318562034100685,0.868719243131455,0.184357365277092,0.184357365277092
"TVAE features, no Covertype",3,0.868872725336778,0.888956062364051,0.0200833370272723,0.023114244977005,5.49380922062125e-05,0.0401117359623383,0.0497468691623654,0.0994937383247308
