"dataset","score.new","score.old","gain"
"Adult",0.774398397924624,0.760240163022533,0.0141582349020907
"Covertype",0.608457467304305,0.390375799980056,0.218081667324249
"MNIST12",0.908289800986287,0.703220766020776,0.205069034965511
"MNIST28",0.914007656997702,0.690492014551318,0.223515642446384
