"analysis","datasets","joint_mean","rf_xgb_mean","gain","relative_gain","lower_95","upper_95","p_value"
"Maximum test score",4,0.636082185893671,0.80128833080323,0.165206144909559,0.259724527071059,0.00449959254782986,0.325912697271288,0.0467223402422246
"Final-epoch score",4,0.617739249878843,0.788011222330985,0.170271972452142,0.275637289496397,-0.0202492878623556,0.360793232766639,0.0654198997294639
"Maximum, Covertype excluded",3,0.717984314531542,0.865565285302871,0.147580970771329,0.205549017972098,-0.14036787289554,0.435529814438198,0.158227182029809
"Final epoch, Covertype excluded",3,0.699970830129756,0.850768925735576,0.15079809560582,0.215434828302582,-0.193669017488688,0.495265208700328,0.200311399938186
