"analysis","datasets","joint_mean","rf_xgb_mean","gain","relative_gain","lower_95","upper_95","p_value"
"Without Adult",3,0.594696193517383,0.810251641762765,0.215555448245382,0.362463137640851,0.192007752869692,0.239103143621072,0.000644000985522565
"Without Covertype",3,0.717984314531542,0.865565285302871,0.147580970771329,0.205549017972098,-0.14036787289554,0.435529814438198,0.158227182029809
"Without MNIST12",3,0.613702659184636,0.765621174075544,0.151918514890908,0.24754416917917,-0.144525651492358,0.448362681274174,0.158253859013552
"Without MNIST28",3,0.617945576341122,0.763715222071739,0.145769645730617,0.235893986965203,-0.137830386007264,0.429369677468499,0.157524637204328
