"dataset","ctgan_e2e","tvae_e2e","e2e","ctgan_hybrid","tvae_hybrid","hybrid"
"Adult",0.774334365357081,0.746145960687984,0.760240163022533,0.774032042649755,0.774764753199492,0.774398397924624
"Covertype",0.483519528518426,0.49,0.486759764259213,0.633427982158658,0.583486952449953,0.608457467304305
"MNIST12",0.481595237719201,0.924846294322351,0.703220766020776,0.879136961757324,0.937442640215251,0.908289800986288
"MNIST28",0.445358108102636,0.935625921,0.690492014551318,0.873354520317996,0.954660793677409,0.914007656997702
