"panel","reference","comparison","reference_mean","comparison_mean","gain","relative_gain","lower_95","upper_95","p_value","p_holm"
"CTGAN-based","e2e","hybrid",0.546201809924336,0.789987876720933,0.243786066796597,0.446329657586394,-0.0822741579825853,0.56984629157578,0.0976684691147374,0.293005407344212
"TVAE-based","e2e","hybrid",0.774154544002584,0.812588784885526,0.0384342408829423,0.0496467290422751,-0.0208985166969178,0.0977669984628025,0.131306046231678,0.293005407344212
"Generator training inputs","Target omitted from generator training","Target included in generator training",0.802777186979962,0.799799474626497,-0.002977712353465,-0.00370926379294249,-0.00769144125533222,0.00173601654840222,0.137932084628479,0.293005407344212
"End-to-end vs hybrid","e2e","hybrid",0.66017817696346,0.80128833080323,0.14111015383977,0.213745559553054,-0.0108913243225598,0.293111632002099,0.0598118279123709,0.239247311649484
