Dataset,Train_Augment_Option,Augment_Type,test_accuracy_max,test_accuracy_end,test_f1_macro_max,test_f1_macro_end,test_f1_micro_max,test_f1_micro_end,test_f1_weighted_max,test_f1_weighted_end,test_f1_binary_max,test_f1_binary_end,test_loss_max,test_loss_end
adult,Synthetic,ctgan,0.838897054,0.83417314,0.781315667,0.777284095,0.838897054,0.83417314,0.838194077,0.835098749,0.678932471,0.657183499,0.661035898,0.34709576
census,Synthetic,ctgan,0.826422423,0.823168171,0.774767552,0.773759327,0.826422423,0.823168171,0.82930839,0.828231179,,,,
covertype,Synthetic,ctgan,0.829783511,0.829582713,0.728486041,0.722667564,0.829783511,0.829582713,0.828882813,0.82851734,,,0.55839582,0.430727334
credit,Synthetic,ctgan,0.79895,0.69325,0.496207791,0.424063429,0.79895,0.69325,0.874140917,0.782971272,0.116985309,0.063931137,0.813515249,0.783090206
mnist12,Synthetic,ctgan,0.765571429,0.736964286,0.72926366,0.725154563,0.765571429,0.736964286,0.762319234,0.72754763,,,3.436773561,0.915924276
mnist28,Synthetic,ctgan,0.5615,0.5205,0.485512269,0.468245325,0.5615,0.5205,0.5082427,0.47563226,,,3.968689881,1.394402656
