global_round,train_loss,train_acc,test_loss,test_acc,train_option,test_option
1,0.18418135482136921,91.68010752688173,0.4914433451799246,82.75240384615384,mix,original
2,0.1688587981510547,92.28158602150538,0.5272087392707666,82.91266025641026,mix,original
3,0.16659359955018566,92.34408602150538,0.546334016112945,83.04286858974359,mix,original
4,0.16487811784750672,92.42540322580645,0.5462940093607475,83.05288461538461,mix,original
5,0.16388934490661466,92.53696236559139,0.5883592633673778,83.19310897435898,mix,original
6,0.1604826774440145,92.61290322580645,0.620343827857421,83.02283653846153,mix,original
7,0.15951861755822294,92.69556451612904,0.63097617851618,82.91266025641026,mix,original
8,0.15759193831554022,92.78427419354838,0.6220905685271972,83.1229967948718,mix,original
9,0.15722939656787022,92.80645161290323,0.6450814926662506,82.86258012820512,mix,original
10,0.15620496936863468,92.80779569892474,0.6525455356026307,82.7323717948718,mix,original
11,0.15330366283815394,92.94354838709677,0.7223742492496967,82.78245192307692,mix,original
12,0.1539122322313888,92.90927419354838,0.735736972055374,82.62219551282051,mix,original
13,0.15279637851461927,93.02016129032258,0.7804055653321438,82.3818108974359,mix,original
14,0.15135896972751103,93.04301075268818,0.8764306555191675,82.31169871794872,mix,original
15,0.14881078467253717,93.14247311827957,0.8902507697542509,82.02123397435898,mix,original
16,0.14700249878629562,93.20430107526882,0.9361967786382406,82.21153846153847,mix,original
17,0.1462630994425666,93.26209677419355,0.9101420511037875,82.01121794871794,mix,original
18,0.14358509221304488,93.38172043010752,1.002478851339756,82.13141025641026,mix,original
19,0.14441595019672507,93.33266129032258,1.0371922315695348,82.25160256410257,mix,original
20,0.14319181458603952,93.33198924731182,1.1059313825307748,82.14142628205128,mix,original
21,0.14381791748266706,93.34341397849462,1.262945416646126,82.12139423076923,mix,original
22,0.14141476612417928,93.44825268817205,1.3358225589379287,81.32011217948718,mix,original
23,0.14094818150484434,93.55779569892474,1.2436567385418293,81.74078525641026,mix,original
24,0.1404228132314259,93.46303763440861,1.447693491402345,81.640625,mix,original
25,0.1384380691138006,93.58198924731182,1.499631911325149,81.48036858974359,mix,original
26,0.13716833515032645,93.63373655913979,1.6288445540345633,81.62059294871794,mix,original
27,0.13791864664724438,93.5725806451613,1.7259448166841116,81.90104166666667,mix,original
28,0.13459174189836748,93.73387096774194,1.8186114384577825,81.35016025641026,mix,original
29,0.13413802348317638,93.7627688172043,1.9352855602136025,81.15985576923077,mix,original
30,0.13498041163368893,93.77486559139786,2.1258162470200124,81.1698717948718,mix,original
