global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,0.6403009714842504,0.723547149122807,0.45810455850088433,0.723547149122807,0.7122829547315567,0.6376988134886089,0.7267680921052632,0.4589497342136436,0.7267680921052632,0.7155570209505107,0.6308286105603774,0.7260139583315405,0.4581184619954553,0.7260139583315405,0.7135447829361514
2,0.615422970425279,0.7322938307940905,0.48779268451635344,0.7322938307940905,0.7213556175657737,0.614364134637933,0.7348889802631579,0.4782580251346617,0.7348889802631579,0.7236045497578373,0.6023213587926435,0.7370377701092055,0.4921145625160439,0.7370377701092055,0.7252468980027124
3,0.5983300641633137,0.7407663896583564,0.5133592692657759,0.7407663896583564,0.7307254631306983,0.5979627872768202,0.7412623355263158,0.5054979166441925,0.7412623355263158,0.7309813343509909,0.5816504152834923,0.7465900191905545,0.517854256640366,0.7465900191905545,0.7354807123328986
4,0.5824125575336834,0.7468006982917821,0.5411596900389065,0.7468006982917821,0.7387829699451955,0.582784420565555,0.745374177631579,0.5393025967945239,0.745374177631579,0.7374737769580378,0.5621905410713347,0.7555829023347074,0.5516009104599666,0.7555829023347074,0.7470020978051116
5,0.5694575301222744,0.753210122345337,0.5404218276570658,0.753210122345337,0.7446406421647307,0.5706383240850348,0.7520559210526315,0.534918326652192,0.7520559210526315,0.7434167431625023,0.5471231445349415,0.7630267721143171,0.551992105235336,0.7630267721143171,0.7537681785262754
6,0.5598915124643983,0.756371551823638,0.557701402584525,0.756371551823638,0.7487773228561783,0.5632967886171842,0.7523643092105263,0.5520907033738353,0.7523643092105263,0.7443882374949505,0.5359660956433503,0.7668734886362658,0.5664676775297423,0.7668734886362658,0.7584950137101685
7,0.550083931022954,0.761278710757156,0.5796842402908566,0.761278710757156,0.7549684024882966,0.5522885887246383,0.7562705592105263,0.5726773264947231,0.7562705592105263,0.7495983253253261,0.5230629580588806,0.7735772742528162,0.5899850554733197,0.7735772742528162,0.7665876379357665
8,0.5390351222327542,0.7654626904432132,0.6050572984512943,0.7654626904432132,0.7597307437000026,0.541821699393423,0.7630550986842105,0.621732672970653,0.7630550986842105,0.7577169525733758,0.5107845460296628,0.778499694500142,0.6136801815775691,0.778499694500142,0.772380836423098
9,0.530318886206751,0.7700217855493998,0.6191043380683626,0.7700217855493998,0.7654691272079271,0.532403406343962,0.7672697368421053,0.6289792348196934,0.7672697368421053,0.7627150146965882,0.5002598740912493,0.7838437906078156,0.6322482079030047,0.7838437906078156,0.7790893419421819
10,0.5202511288122457,0.7741155932594644,0.6308401803117578,0.7741155932594644,0.7690845997545982,0.5241387988391676,0.7734375,0.6450702174364363,0.7734375,0.768484643822549,0.49025229163312783,0.7863222119910845,0.6420274505093675,0.7863222119910845,0.7811603623418517
11,0.5121390481624797,0.7781426737072945,0.6555248694164926,0.7781426737072945,0.7744799608384616,0.5172431092513236,0.7739514802631579,0.6609012811220893,0.7739514802631579,0.7700449737691181,0.4804374526480837,0.7913220829066375,0.6687005697755799,0.7913220829066375,0.7877366941145082
12,0.5062183781508924,0.7807684816481995,0.659689191681245,0.7807684816481995,0.7772028016552937,0.5111143071400491,0.7768297697368421,0.6642519999300782,0.7768297697368421,0.7732425062397,0.4730585932882431,0.7952032219477982,0.6776894855575959,0.7952032219477982,0.7917355482855668
13,0.49967143539466574,0.7841246825946445,0.6607963079130431,0.7841246825946445,0.780762140175226,0.5049689584656766,0.78125,0.6624450553164877,0.78125,0.7775386862742417,0.4665355056473753,0.7983614880855056,0.6716359310757314,0.7983614880855056,0.7949405895898191
14,0.49503379716217133,0.786645891043398,0.6677598956117837,0.786645891043398,0.7834058755108712,0.5010735847448048,0.7817639802631579,0.667152377823952,0.7817639802631579,0.7782660511390499,0.4615041286990194,0.8015541767424249,0.6809690816190436,0.8015541767424249,0.7983482511865545
15,0.4886192266630664,0.7895836940212373,0.6840286409222472,0.7895836940212373,0.787211332610449,0.493275722390727,0.783922697368421,0.6846936890684392,0.783922697368421,0.7814984154450934,0.45364920925544394,0.8048759498463895,0.7026724212955878,0.8048759498463895,0.802471673492008
16,0.48394263310775865,0.7917297870498615,0.6812808373910914,0.7917297870498615,0.7886544116657372,0.48990840974606964,0.787109375,0.6742362673593718,0.787109375,0.7836581239863185,0.4495058594201958,0.806657315215614,0.6982079505391176,0.806657315215614,0.8036483807204344
17,0.47951937291430635,0.7938993247922438,0.6812859738654099,0.7938993247922438,0.7910145677036382,0.48591336607933044,0.7906044407894737,0.6888346175281014,0.7906044407894737,0.7877762201946436,0.443837424048101,0.8094541449015946,0.7015011131638581,0.8094541449015946,0.8065599772390513
18,0.47569217113906986,0.7967307248384118,0.7012241452140173,0.7967307248384118,0.7945093820344958,0.48175933957099915,0.791015625,0.6923271838106583,0.791015625,0.7886890509025034,0.4391571591011995,0.8124144815538326,0.7208081853317727,0.8124144815538326,0.8102662717423873
19,0.4714413788565198,0.7989038694598338,0.6994477079837526,0.7989038694598338,0.796667855101433,0.47786434857468857,0.7948190789473685,0.6990673604950469,0.7948190789473685,0.7925184511199403,0.4358389386939679,0.8135504246878308,0.7189450344230683,0.8135504246878308,0.8114202711790042
20,0.46778142223838076,0.8008010878347184,0.7074147214973134,0.8008010878347184,0.7986864135099483,0.4746928042487094,0.7966694078947368,0.7038264446435089,0.7966694078947368,0.7943681946777802,0.43125655616638653,0.8165279725996747,0.7303445393103635,0.8165279725996747,0.8145400520264701
21,0.46227934329133286,0.8038543109418282,0.7137314787330673,0.8038543109418282,0.8019139891074484,0.46954215357178136,0.7980057565789473,0.7102917264907564,0.7980057565789473,0.7959876215849785,0.4243183402628158,0.8210717451356677,0.7368296384128162,0.8210717451356677,0.8193369858198901
22,0.45909112639594496,0.804943588411819,0.71563905157845,0.804943588411819,0.8026462832707328,0.46621267575966685,0.8001644736842105,0.7094925739399505,0.8001644736842105,0.7978105301817466,0.4204754887565931,0.8219839418947875,0.7427760182131331,0.8219839418947875,0.8199218089236193
23,0.45649544554844235,0.8065991458910434,0.7191122954648789,0.8065991458910434,0.8046869983439582,0.4631736764782353,0.8011924342105263,0.7123314856455353,0.8011924342105263,0.7990002979365365,0.4182747470404957,0.8242988563117992,0.7468295680986615,0.8242988563117992,0.8225893434453118
24,0.45303066541283415,0.8081392832409973,0.719866205317916,0.8081392832409973,0.8063932202368932,0.45952228182240534,0.7993421052631579,0.711384557718705,0.7993421052631579,0.7974441741193857,0.41291608666536134,0.8253573487775703,0.747443061013187,0.8253573487775703,0.8238651990365092
25,0.45082653020117314,0.810400796398892,0.7269650697148639,0.810400796398892,0.8086322939757458,0.4581196433619449,0.8044819078947368,0.7215619233764601,0.8044819078947368,0.802507582737932,0.4121485579602982,0.827715291343597,0.7513585376585119,0.827715291343597,0.8261143472264821
26,0.447348858455982,0.8111961132271468,0.7273014134444795,0.8111961132271468,0.8095454492513598,0.4542924134354842,0.8045847039473685,0.7198869672244651,0.8045847039473685,0.802788699051719,0.4073991040319668,0.8290491639630646,0.751805973298108,0.8290491639630646,0.8275490420667707
