global_round,train_loss,train_mse,train_mape,train_mae,train_r2,dev_loss,dev_mse,dev_mape,dev_mae,dev_r2,test_loss,test_mse,test_mape,test_mae,test_r2
11,34690877.97150997,34690878.116814375,1.03001448554616,3027.6634541089115,-0.3464226752646469,35556072.692307696,35556073.221581,1.0020025072956797,3079.3181441990564,-0.35186838819377986,131336026.3024341,131336015.67559968,0.9905987013454147,3299.1324789459654,-0.08837340679221395
12,34632281.236467235,34632281.26409527,1.0300564351926682,3022.444866074794,-0.34414841368687776,35499239.58974359,35499239.58200111,0.9999905905741568,3074.015352796835,-0.3497075308838278,131275749.55227645,131275738.33810776,0.9875066286519867,3293.4494585638267,-0.0878738922392488
13,34578346.54415955,34578346.31680536,1.030343431834995,3017.840584724408,-0.3420550900247956,35447850.43589743,35447850.18842297,0.9984497264285864,3069.32675621498,-0.34775366786206496,131216947.39891538,131216944.11027542,0.984499631566505,3287.892473001587,-0.0873866681239408
14,34513052.49002849,34513052.39771161,1.0315731341895102,3012.5230726290647,-0.33952090184631567,35385016.07692308,35385016.18768807,0.9970309075628174,3063.981609397377,-0.3453646723515682,131148421.59364359,131148416.06271647,0.9815450961979153,3281.8811398523126,-0.08681878044896552
15,34458201.83760684,34458201.78839269,1.0316922332144876,3008.0488286024797,-0.3373920395012808,35333060.12820513,35333060.1178206,0.9955460179095176,3059.4244627070416,-0.3433892638751903,131089713.71799722,131089713.65859084,0.9787387465959423,3276.773772049813,-0.08633231727101354
16,34389667.25356125,34389667.319447815,1.0342702733720943,3002.3388856482743,-0.33473207907266667,35267490.256410256,35267491.08222728,0.99416750516415,3053.7100209677683,-0.3408962803021576,131022000.53651154,131022001.03405796,0.9753594961326097,3270.16623562521,-0.08577118695602248
17,34325786.29059829,34325786.46067665,1.034010664102931,2996.855081869093,-0.3322527346042088,35205964.43589743,35205964.578655995,0.9919783410781015,3048.0290341823934,-0.3385569968077238,130950818.2814983,130950823.69136402,0.9712292957572909,3262.864197423839,-0.08518134473676753
18,34253446.77492878,34253446.86524856,1.033364509524782,2989.968815073964,-0.32944508957210883,35140141.12820513,35140140.864774145,0.9892028504325955,3041.155297423841,-0.33605433017646114,130872762.31504603,130872759.89442949,0.9673422714973023,3255.6959430411644,-0.08453443489882462
19,34190112.16239316,34190112.14773239,1.0343481456539414,2984.5353271056824,-0.32698694194297984,35082446.76923077,35082447.17716238,0.9873557543403294,3035.6077074069285,-0.3338607731997212,130802911.91499558,130802911.86535461,0.9630847269802029,3248.307631467879,-0.08395560861898899
20,34106136.86039886,34106136.78807435,1.034174164992585,2976.757796614399,-0.3237276895243366,35001918.64102564,35001918.66174443,0.9843833181888016,3027.8089723768526,-0.3307990190610324,130714143.07806785,130714133.20645124,0.9590239671992681,3239.5629123622825,-0.08321990538523338
21,34035227.85754986,34035227.87009856,1.0336931374901905,2970.6793715094273,-0.3209755719584566,34938825.256410256,34938824.62777906,0.9821253384136478,3021.6960720069833,-0.3284001368934246,130638191.42615715,130638181.4764485,0.9543016013626346,3231.6888340931623,-0.08259049811480867
22,33956672.05128205,33956672.07097803,1.0308734777834059,2963.6525950835767,-0.3179266635724174,34865494.43589743,34865494.53720108,0.9791866758818955,3014.4474000216564,-0.32561207222897237,130556844.31201917,130556841.49828018,0.9502623273020233,3223.959435992128,-0.08191643876641064
23,33868729.49002849,33868729.43971373,1.0284650760905285,2955.015576606044,-0.3145134333723063,34785840.256410256,34785840.24890122,0.9752386696695905,3005.8011254146754,-0.32258355685649054,130460427.88523144,130460420.15574056,0.9453003614396456,3215.0753216371813,-0.08111740108792254
24,33798960.29344729,33798960.533659644,1.0322852454344473,2948.650141020105,-0.3118055619594433,34713971.384615384,34713971.53912684,0.9737346060497702,2999.320496434507,-0.31985105497871613,130381975.36486316,130381977.8736101,0.9414796388535857,3207.324581945073,-0.08046735476666234
25,33720021.41595442,33720021.45035839,1.0326184635506617,2942.4007279169355,-0.30874177754431487,34646643.025641024,34646643.00547647,0.9718194269592174,2993.1080713357346,-0.31729117397897344,130306039.8680792,130306047.84944591,0.9381120454021763,3199.6175875278873,-0.0798381273711739
26,33638711.71225071,33638711.82121774,1.0303586602480712,2935.8440224778246,-0.3055859874826252,34576167.35897436,34576167.22616151,0.9690414161186341,2986.5297955654814,-0.31461163235480494,130219508.32311767,130219494.63349997,0.9351129995262157,3192.9066229323703,-0.07912086624502113
27,33550499.735042736,33550499.63833193,1.0255089133763242,2925.1236884477735,-0.3021622954425418,34490021.025641024,34490020.712074436,0.9633556027962552,2975.8232618656534,-0.3113362777220916,130122580.0254761,130122575.44373353,0.9279647109977198,3180.9018771929254,-0.07831770293747731
28,33454109.666666668,33454109.547006726,1.0280747555494643,2917.364782184009,-0.29842120234613567,34410732.692307696,34410733.19868777,0.961436260236542,2968.0705113358654,-0.3083217074050051,130022880.27090427,130022883.9109437,0.9215935978368157,3169.0391231625463,-0.07749156539544311
29,33337158.068376068,33337158.141616452,1.023399095967465,2905.319781791929,-0.2938820833422493,34296608.58974359,34296608.36642395,0.9556239072109122,2955.8633311270223,-0.3039825962752718,129906852.76150839,129906847.55492948,0.9166876238173195,3159.244035713067,-0.07652997931825545
30,33243695.60968661,33243695.604172774,1.0209325610949362,2895.438106893355,-0.29025461449357404,34216141.51282051,34216141.44454388,0.950715620254671,2945.9864766392916,-0.3009231839687716,129815435.43750788,129815433.92193915,0.9082867672973535,3146.2778055880467,-0.07577244021785612
