global_round,train_loss,train_mape,train_r2,train_mse,train_mae,dev_loss,dev_mape,dev_r2,dev_mse,dev_mae,test_loss,test_mape,test_r2,test_mse,test_mae
1,19931642207.085712,1.0026267317946371,-0.23561853035583868,19931641939.926037,61733.46588946578,19886459203.36842,1.002533402059453,-0.2382978895932395,19886458602.46417,61944.65079515057,131720562.5375205,0.999497462373079,-0.09156011549149201,131720561.66052546,3326.638531652433
2,19915843677.622856,1.0007926569859231,-0.23463914174373812,19915843517.794243,61708.00237100033,19870718329.263157,1.0006158908880096,-0.237317749951939,19870718039.094753,61919.063112063086,131594638.46159667,0.9854910260559472,-0.09051653390588643,131594630.7560854,3308.5400908526126
3,19893604036.022858,0.9941000910839547,-0.23326042704272565,19893603605.48896,61661.857664806426,19848556166.736843,0.9939011215352967,-0.2359377414380226,19848555777.159492,61872.809542811316,131343695.22436625,0.958396357795073,-0.08843702013847965,131343692.01479556,3272.469249721974
4,19865061335.04,0.9865626045456697,-0.23149099180393518,19865061018.3158,61604.484622986485,19820104057.263157,0.9863261254127438,-0.23416610221352085,19820104117.51229,61815.2776430311,131047923.91348216,0.9303537064047732,-0.08598608321789714,131047932.9602168,3230.889279236242
5,19830262590.90286,0.9784395896292906,-0.22933372619116787,19830262377.225,61536.05622436332,19785515439.157894,0.97815307372481,-0.2320122859128826,19785514880.899746,61746.77066477584,130712090.71181738,0.9083341476779276,-0.08320302972098381,130712096.78908695,3189.879028599114
6,19790781802.78857,0.9707519205846441,-0.2268862004749419,19790781578.729263,61458.026812876335,19746356816.842106,0.9708785017773617,-0.22957394729990055,19746356355.077023,61669.266991589415,130316797.30911842,0.8910410409514127,-0.07992713639780025,130316788.73198062,3149.514822536646
7,19743808125.805714,0.9560463202601001,-0.22397417987388923,19743808058.572395,61350.727271353004,19699693675.789474,0.9565300850366821,-0.2266683497530133,19699693879.256626,61562.208890231035,129799056.12561484,0.8636559730499834,-0.07563680780002668,129799066.90925492,3093.3960958993935
8,19692679893.577145,0.9465427676661402,-0.2208045984400966,19692679849.755714,61247.02374283595,19648395802.94737,0.9472796704776416,-0.22347409622464176,19648395729.520943,61458.08092014178,129354000.07264473,0.8508824429247283,-0.07194854675471363,129353997.68260905,3053.3782060738395
9,19636433884.89143,0.9265175532097809,-0.21731775083755767,19636433851.330227,61113.4035990228,19592733426.526318,0.9279451208573803,-0.2200080941316862,19592733430.717983,61325.18267226533,128788436.5584563,0.8311062597523023,-0.06726182032984673,128788441.80687542,2996.6132945112327
10,19571797629.805714,0.9091583529810948,-0.2133107819221982,19571797826.76174,60970.523510669984,19528244709.05263,0.9110783986565928,-0.21599249521606811,19528244875.685577,61182.450872142064,128288489.06318577,0.822402060528405,-0.0631187343422348,128288488.02004218,2950.692216588113
11,19509351453.25714,0.8859224474051158,-0.20943956242025474,19509351562.734463,60816.012642319205,19466282307.36842,0.8887284131363998,-0.2121341827569072,19466282264.23376,61028.540766791295,127768161.01954849,0.8155856807813983,-0.05880691018374806,127768172.28857046,2900.445025232945
12,19436742416.091427,0.8644609902431539,-0.2049383123112547,19436742336.463955,60648.3449486317,19394012483.36842,0.8685358977210414,-0.20763405640862587,19394012435.5576,60861.85651277241,127343595.44709295,0.8248240520098686,-0.05528845112949776,127343593.37969679,2865.454828699896
13,19362857340.342857,0.840380787282139,-0.20035796657711025,19362857226.382496,60472.43477598463,19321226024.42105,0.8452643915786898,-0.20310177957704556,19321226285.840637,60687.134605037536,126964611.46121831,0.8498371394451573,-0.052147871699228965,126964613.8982889,2842.3347740062686
14,19281942182.765713,0.8165313737349502,-0.19534181639568482,19281942197.2883,60290.67219934668,19240855713.68421,0.822934337516194,-0.19809719685920024,19240855134.53897,60506.945192700936,126742272.35817884,0.8865045714244274,-0.05030524837995398,126742261.16196306,2834.706280700014
15,19198545867.337143,0.7908399465451984,-0.190171846875957,19198545923.45784,60092.47107161931,19158518837.894737,0.7981349246723629,-0.1929702302663041,19158518558.047394,60310.06963978943,126551295.36889897,0.9390798669325884,-0.048722692822597,126551291.27957578,2835.0033419615443
16,19108208136.77714,0.7552360418248764,-0.1845715647741406,19108208319.356163,59865.1200472062,19068352619.789474,0.7639223017274313,-0.18735573353112223,19068352485.863796,60083.170895695686,126460466.44192205,1.0102170956036407,-0.04797003464301586,126460466.63625492,2845.8956672629006
17,19018109946.14857,0.7233693566340558,-0.17898614037143368,19018110383.34899,59646.891096208434,18979454059.789474,0.7331392381023418,-0.18182018786382836,18979454329.224884,59866.40511758076,126514180.2161685,1.0879343440137035,-0.04841510594843346,126514174.20718627,2867.615127269039
18,18926963524.754284,0.6995454978551946,-0.17333569607354216,18926963617.757317,59434.29266006401,18890799265.68421,0.7110288274479482,-0.1762997564159794,18890798899.559692,59657.51267036011,126824662.57232942,1.1953143146348404,-0.05098812109245365,126824664.66494614,2920.9769144855663
19,18825322437.485714,0.721665997379326,-0.1670346725538583,18825322422.223267,59236.23476265499,18789710039.57895,0.7329171441566162,-0.1700051168008634,18789710065.30144,59458.57690737122,127132308.96783957,1.3102220582311461,-0.053537501206179616,127132303.04024069,2969.1965935377893
20,18721508112.091427,0.7311754968696113,-0.16059892954442967,18721508079.746246,59037.69944103786,18687985610.105263,0.7451417004643724,-0.16367090430588682,18687985709.943024,59264.475815308724,127899844.61142641,1.4411451276746023,-0.05989807307195627,127899844.916086,3052.740494003421
21,18620882095.54286,0.7513260347984156,-0.15436084950967066,18620882219.425415,58831.01996627263,18587324577.68421,0.7677451160354174,-0.15740290401643486,18587324690.228806,59058.433807536174,128690947.57901375,1.6030068079964042,-0.06645388672370434,128690946.97642572,3157.537144168657
