"dataset","macro_max.new","macro_max.old","delta"
"Adult",0.750495470288747,0.760240163022533,-0.00974469273378631
"Covertype",0.542515134199186,0.390375799980056,0.15213933421913
"MNIST12",0.856611384013583,0.703220766020776,0.153390617992807
"MNIST28",0.865150800463206,0.690492014551318,0.174658785911888
