source,source_row,source_col,method,metric,train,dataset,value
Mar23.csv,8,7,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,Census,0.7279380377241917
Mar23.csv,8,8,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,Covertype,0.4855231191601863
Mar23.csv,8,9,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,MNIST12,0.7946713220102058
Mar23.csv,8,10,compare_sdv_pca_gmm,test_f1_macro_end,synthetic,MNIST28,0.76696388
Mar23.csv,8,15,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,Adult,0.7335438573780975
Mar23.csv,8,16,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,Census,0.7385048971654855
Mar23.csv,8,17,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,Covertype,0.4977414989490513
Mar23.csv,8,18,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,MNIST12,0.799049102
Mar23.csv,8,19,compare_sdv_pca_gmm,test_f1_macro_max,synthetic,MNIST28,0.7768115553102355
Mar23.csv,8,24,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,Adult,0.746903212
Mar23.csv,8,25,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,Census,0.7608650010497585
Mar23.csv,8,26,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,Covertype,0.6879770746022048
Mar23.csv,8,27,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,MNIST12,0.7994
Mar23.csv,8,28,compare_sdv_pca_gmm,test_f1_micro_end,synthetic,MNIST28,0.7685
Mar23.csv,8,33,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,Adult,0.7672685282385051
Mar23.csv,8,34,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,Census,0.774721814
Mar23.csv,8,35,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,Covertype,0.6941042830219529
Mar23.csv,8,36,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,MNIST12,0.8035
Mar23.csv,8,37,compare_sdv_pca_gmm,test_f1_micro_max,synthetic,MNIST28,0.7781
Mar23.csv,9,6,compare_sdv_rf,test_f1_macro_end,synthetic,Adult,0.7424405782154562
Mar23.csv,9,7,compare_sdv_rf,test_f1_macro_end,synthetic,Census,0.7482532033108433
Mar23.csv,9,8,compare_sdv_rf,test_f1_macro_end,synthetic,Covertype,0.6303536041873461
Mar23.csv,9,9,compare_sdv_rf,test_f1_macro_end,synthetic,MNIST12,0.873409404
Mar23.csv,9,10,compare_sdv_rf,test_f1_macro_end,synthetic,MNIST28,0.8711462608676582
Mar23.csv,9,15,compare_sdv_rf,test_f1_macro_max,synthetic,Adult,0.7687176324771305
Mar23.csv,9,16,compare_sdv_rf,test_f1_macro_max,synthetic,Census,0.7743844958620149
Mar23.csv,9,17,compare_sdv_rf,test_f1_macro_max,synthetic,Covertype,0.6304821161853542
Mar23.csv,9,18,compare_sdv_rf,test_f1_macro_max,synthetic,MNIST12,0.8750969956702879
Mar23.csv,9,19,compare_sdv_rf,test_f1_macro_max,synthetic,MNIST28,0.8749029796028042
Mar23.csv,9,24,compare_sdv_rf,test_f1_micro_end,synthetic,Adult,0.8359227377703128
Mar23.csv,9,25,compare_sdv_rf,test_f1_micro_end,synthetic,Census,0.834138148
Mar23.csv,9,26,compare_sdv_rf,test_f1_micro_end,synthetic,Covertype,0.7799196234176399
Mar23.csv,9,27,compare_sdv_rf,test_f1_micro_end,synthetic,MNIST12,0.8749
Mar23.csv,9,28,compare_sdv_rf,test_f1_micro_end,synthetic,MNIST28,0.8706
Mar23.csv,9,33,compare_sdv_rf,test_f1_micro_max,synthetic,Adult,0.8410665546924208
Mar23.csv,9,34,compare_sdv_rf,test_f1_micro_max,synthetic,Census,0.8422212891035062
Mar23.csv,9,35,compare_sdv_rf,test_f1_micro_max,synthetic,Covertype,0.7808920595853808
Mar23.csv,9,36,compare_sdv_rf,test_f1_micro_max,synthetic,MNIST12,0.8766
Mar23.csv,9,37,compare_sdv_rf,test_f1_micro_max,synthetic,MNIST28,0.8744
Mar23.csv,10,9,compare_sdv_tvae_categoricalNB,test_f1_macro_end,synthetic,MNIST12,0.8093031026565743
Mar23.csv,10,10,compare_sdv_tvae_categoricalNB,test_f1_macro_end,synthetic,MNIST28,0.8285627200954797
Mar23.csv,10,18,compare_sdv_tvae_categoricalNB,test_f1_macro_max,synthetic,MNIST12,0.8129681964715146
Mar23.csv,10,19,compare_sdv_tvae_categoricalNB,test_f1_macro_max,synthetic,MNIST28,0.8322378836697109
Mar23.csv,10,27,compare_sdv_tvae_categoricalNB,test_f1_micro_end,synthetic,MNIST12,0.812
Mar23.csv,10,28,compare_sdv_tvae_categoricalNB,test_f1_micro_end,synthetic,MNIST28,0.831
Mar23.csv,10,36,compare_sdv_tvae_categoricalNB,test_f1_micro_max,synthetic,MNIST12,0.8154
Mar23.csv,10,37,compare_sdv_tvae_categoricalNB,test_f1_micro_max,synthetic,MNIST28,0.8347
Mar23.csv,11,9,compare_sdv_tvae_gaussianNB,test_f1_macro_end,synthetic,MNIST12,0.3980041428599746
Mar23.csv,11,10,compare_sdv_tvae_gaussianNB,test_f1_macro_end,synthetic,MNIST28,0.4371185760014226
Mar23.csv,11,18,compare_sdv_tvae_gaussianNB,test_f1_macro_max,synthetic,MNIST12,0.4038516591998338
Mar23.csv,11,19,compare_sdv_tvae_gaussianNB,test_f1_macro_max,synthetic,MNIST28,0.4407853126919483
Mar23.csv,11,27,compare_sdv_tvae_gaussianNB,test_f1_micro_end,synthetic,MNIST12,0.4731
Mar23.csv,11,28,compare_sdv_tvae_gaussianNB,test_f1_micro_end,synthetic,MNIST28,0.5138
Mar23.csv,11,36,compare_sdv_tvae_gaussianNB,test_f1_micro_max,synthetic,MNIST12,0.4778
Mar23.csv,11,37,compare_sdv_tvae_gaussianNB,test_f1_micro_max,synthetic,MNIST28,0.5165
Mar23.csv,12,9,compare_sdv_tvae_pca_gmm,test_f1_macro_end,synthetic,MNIST12,0.8104642601352893
Mar23.csv,12,10,compare_sdv_tvae_pca_gmm,test_f1_macro_end,synthetic,MNIST28,0.8304517528435943
Mar23.csv,12,18,compare_sdv_tvae_pca_gmm,test_f1_macro_max,synthetic,MNIST12,0.8134890539953397
Mar23.csv,12,19,compare_sdv_tvae_pca_gmm,test_f1_macro_max,synthetic,MNIST28,0.831846886
Mar23.csv,12,27,compare_sdv_tvae_pca_gmm,test_f1_micro_end,synthetic,MNIST12,0.813
Mar23.csv,12,28,compare_sdv_tvae_pca_gmm,test_f1_micro_end,synthetic,MNIST28,0.833
Mar23.csv,12,36,compare_sdv_tvae_pca_gmm,test_f1_micro_max,synthetic,MNIST12,0.816
Mar23.csv,12,37,compare_sdv_tvae_pca_gmm,test_f1_micro_max,synthetic,MNIST28,0.8343
Mar23.csv,13,9,compare_sdv_tvae_rf,test_f1_macro_end,synthetic,MNIST12,0.9323312900535364
Mar23.csv,13,10,compare_sdv_tvae_rf,test_f1_macro_end,synthetic,MNIST28,0.9460543310484828
Mar23.csv,13,18,compare_sdv_tvae_rf,test_f1_macro_max,synthetic,MNIST12,0.9330500265880256
Mar23.csv,13,19,compare_sdv_tvae_rf,test_f1_macro_max,synthetic,MNIST28,0.9481754792743964
Mar23.csv,13,27,compare_sdv_tvae_rf,test_f1_micro_end,synthetic,MNIST12,0.9327
Mar23.csv,13,28,compare_sdv_tvae_rf,test_f1_micro_end,synthetic,MNIST28,0.9465
Mar23.csv,13,36,compare_sdv_tvae_rf,test_f1_micro_max,synthetic,MNIST12,0.9334
Mar23.csv,13,37,compare_sdv_tvae_rf,test_f1_micro_max,synthetic,MNIST28,0.9486
Mar23.csv,14,9,compare_sdv_tvae_xgb,test_f1_macro_end,synthetic,MNIST12,0.9429362235836736
Mar23.csv,14,10,compare_sdv_tvae_xgb,test_f1_macro_end,synthetic,MNIST28,0.9598570628761118
Mar23.csv,14,18,compare_sdv_tvae_xgb,test_f1_macro_max,synthetic,MNIST12,0.9449140713758448
Mar23.csv,14,19,compare_sdv_tvae_xgb,test_f1_macro_max,synthetic,MNIST28,0.9610001411003516
Mar23.csv,14,27,compare_sdv_tvae_xgb,test_f1_micro_end,synthetic,MNIST12,0.9432
Mar23.csv,14,28,compare_sdv_tvae_xgb,test_f1_micro_end,synthetic,MNIST28,0.9601
Mar23.csv,14,36,compare_sdv_tvae_xgb,test_f1_micro_max,synthetic,MNIST12,0.9452
Mar23.csv,14,37,compare_sdv_tvae_xgb,test_f1_micro_max,synthetic,MNIST28,0.9612
Mar23.csv,15,6,compare_sdv_xgb,test_f1_macro_end,synthetic,Adult,0.6884643658748745
Mar23.csv,15,7,compare_sdv_xgb,test_f1_macro_end,synthetic,Census,0.728075274
