"","has_y","tvae","emmean","SE","df","lower.CL","upper.CL"
"1","0","0",0.709152688955377,0.00678934538914595,46,0.695486445502021,0.722818932408733
"2","1","0",0.706603347741045,0.00558080753220945,46,0.695369764821044,0.717836930661046
"3","0","1",0.723225486247754,0.00678934538914596,46,0.709559242794398,0.73689172970111
"4","1","1",0.720676145033422,0.00558080753220946,46,0.709442562113421,0.731909727953422
