"","Sum Sq","Df","F value","Pr(>F)"
"(Intercept)",0.0503507839460216,1,58.1488274963414,1.05984249157904e-09
"y_synth",0.0130614522484571,5,3.01686716322615,0.019457292527076
"dataset",0.0945097083998452,3,36.3822784855657,3.34226882882154e-12
"has_y",0.000131774833768319,1,0.152183371869,0.698258112522491
"tvae",0.00282523422041484,1,3.26279045616813,0.0774131631567873
"y_synth:dataset",0.313280968413295,15,24.1200097429544,7.5693426844529e-17
"Residuals",0.0398311739245769,46,NA,NA
