"","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"1","joint - decoupled_no_y",-0.118885681954673,0.0330584169794091,69.0172957034987,-0.198070466930823,-0.0397008969785233,-3.59623033458386,0.00172367587419342
"2","joint - decoupled_with_y",-0.116336340740341,0.0330584169794091,69.0172957034991,-0.195521125716496,-0.0371515557641859,-3.51911408258909,0.00220004582636457
"3","decoupled_no_y - decoupled_with_y",0.00254934121433202,0.0209079786989033,69.0172957034987,-0.0475315140967309,0.0526301965253949,0.121931500459475,0.991837962922794
