global_round,train_loss,train_accuracy,train_f1_macro,train_f1_micro,train_f1_weighted,dev_loss,dev_accuracy,dev_f1_macro,dev_f1_micro,dev_f1_weighted,test_loss,test_accuracy,test_f1_macro,test_f1_micro,test_f1_weighted
1,0.49581242812611664,0.9111775606469003,0.8688550939856766,0.9111775606469003,0.9137426061668283,0.49344501526732193,0.9177631578947368,0.8782059821295324,0.9177631578947368,0.9201320219557123,0.5258314639311139,0.8020155364266218,0.7381695455911401,0.8020155364266218,0.8047843676618341
2,0.35158475855932725,0.8710200471698113,0.8322620588843251,0.8710200471698113,0.8808424050018322,0.3497977586168992,0.8733552631578947,0.8347056082025789,0.8733552631578947,0.8829848115438705,0.42939405601589764,0.7730422002939324,0.7293892235081412,0.7730422002939324,0.7853873442777866
3,0.2643733481271569,0.8975320080862533,0.8620813932171584,0.8975320080862533,0.9042110240792014,0.26172431283875514,0.9006990131578947,0.8657014691474239,0.9006990131578947,0.9071121756729026,0.4050056822480661,0.7895234096157884,0.741295253026745,0.7895234096157884,0.798845409248244
4,0.21222565622342565,0.9153680929919138,0.8828690887555573,0.9153680929919138,0.9200427318838307,0.20862099293031192,0.919202302631579,0.8871922250617652,0.919202302631579,0.9234892562852746,0.40509326357113673,0.8052697879487718,0.7518752339237555,0.8052697879487718,0.8111783502746901
5,0.17889888239196047,0.9260971192722371,0.8958467685452881,0.9260971192722371,0.9296661701277622,0.17424450187306656,0.9298930921052632,0.9002673069285438,0.9298930921052632,0.9331004102288838,0.42092401342383956,0.8123031702708378,0.7565720240324787,0.8123031702708378,0.8165826571474121
6,0.15795372681556685,0.9321723382749326,0.9032506635399798,0.9321723382749326,0.9351219837339588,0.1531259464590173,0.9356496710526315,0.907386349154033,0.9356496710526315,0.9382898250520914,0.43944671053659157,0.8177619147596052,0.7606261044372031,0.8177619147596052,0.8208801992077983
7,0.1451445050196185,0.9368787904312669,0.9090092521892894,0.9368787904312669,0.9393501089965287,0.1398866106020777,0.9418174342105263,0.9152590652155993,0.9418174342105263,0.9439144042193067,0.45804718876996264,0.8200713835817762,0.7607302202225878,0.8200713835817762,0.8221228065984092
8,0.13906708733251474,0.9374789420485176,0.9098910354413952,0.9374789420485176,0.939931573721308,0.13339384998145856,0.9428453947368421,0.9165601808165524,0.9428453947368421,0.9448480777021974,0.46992037483005494,0.8204912870039891,0.761089173804016,0.8204912870039891,0.8224671888746409
9,0.13226876741230006,0.9405639319407008,0.9137278405258846,0.9405639319407008,0.9427185806501307,0.1262959461463125,0.9444901315789473,0.9186316274442792,0.9444901315789473,0.9463385148066624,0.4845931962986541,0.8201763594373294,0.7590845600742688,0.8201763594373294,0.8215899908172126
10,0.12712390566209578,0.9440700808625337,0.9180745535927046,0.9440700808625337,0.9458795639195964,0.12132686807921059,0.9473684210526315,0.9220518285629007,0.9473684210526315,0.9488844940516558,0.49467868059592013,0.8211211421373085,0.7583880294168079,0.8211211421373085,0.8218190383233215
