"","group","emmean","SE","df","lower.CL","upper.CL"
"1","joint",0.636082185893677,0.0808889400351734,7.46203516392485,0.447185082198373,0.824979289588981
"2","decoupled_no_y",0.75496786784835,0.0767287772618796,5.74205338480156,0.565155786196984,0.944779949499717
"3","decoupled_with_y",0.752418526634018,0.0767287772618796,5.74205338480157,0.562606444982652,0.942230608285385
